,Artist,Track,Spotify_ID,danceability,energy,acousticness,instrumentalness,liveness,valence,tempo,key,loudness,mode,duration_ms,time_signature
897,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,5Gu0PDLN4YJeW75PpBSg9p,0.664,0.708,0.0337,0,0.0841,0.742,103.07,8,-4.154,1,174800,4
898,Post Malone Featuring 21 Savage,Rockstar,0e7ipj03S05BNilyu5bRzt,0.585,0.52,0.124,7.01e-05,0.131,0.129,159.801,5,-6.136,0,218147,4
899,Niall Horan,Too Much To Ask,18PP09BdwsEpCp9B9XByid,0.509,0.534,0.366,0,0.126,0.222,153.631,0,-6.521,1,223044,4
900,Gucci Mane Featuring The Weeknd,Curve,2yuyaYAELoMG4ApV5wJsWR,0.76,0.476,0.294,0,0.1,0.354,147.01,8,-8.103,1,161990,4
901,BTS,DNA,35oDhfqmQepYWgXSny1cez,0.582,0.726,0.00349,0,0.0635,0.658,129.914,1,-4.118,0,223573,4
902,"Lorde Featuring Khalid, Post Malone & SZA",Homemade Dynamite,5u64RlrnvvbtNh6R0EMh6o,0.781,0.548,0.229,0,0.127,0.175,106.996,0,-4.997,0,214255,4
903,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,0.0689,0,0.196,0.291,143.95,8,-5.408,0,223347,4
904,Macklemore Featuring Kesha,Good Old Days,2Za1AlJNvksouPPWbXpR2X,0.712,0.51,0.446,2.46e-05,0.112,0.268,122.964,8,-8.162,1,240507,4
905,Chris Young,Losing Sleep,6waqLPcT6ruMhmd36OhmFO,0.584,0.621,0.0715,1.68e-06,0.389,0.634,92.003,1,-5.703,1,178253,4
906,Brett Young,Like I Loved You,3T6MAweakkNrMYs8jZIWtg,0.582,0.568,0.196,0,0.0841,0.64,76.025,1,-6.051,1,207187,4
907,Eric Church,Round Here Buzz,52ioLaTnO2J7BWY8UN2n9D,0.638,0.441,0.0422,1.33e-05,0.107,0.473,76.078,2,-9.064,1,214627,4
908,A$AP Ferg Featuring Nicki Minaj,Plain Jane,4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,0.0651,0,0.087,0.52,170.142,11,-5.482,1,173600,4
909,Bhad Bhabie,Hi Bich,3yjpv3Rk2gkHhfhgBjiUKS,0.928,0.355,0.16,0.000329,0.094,0.0715,120.042,8,-9.181,1,105131,4
910,A Boogie Wit da Hoodie,No Promises,2BJpuAoDeQ1QuPvnryfAWK,0.759,0.646,0.0164,0,0.137,0.242,145.005,5,-7.815,0,197667,4
911,A Boogie Wit da Hoodie,Say A',3AMnOVxEHUgVrythGgqPhI,0.831,0.814,0.391,0,0.109,0.846,161.041,5,-5.18,1,214854,4
912,A Boogie Wit da Hoodie Featuring 21 Savage,Undefeated,2vaMWMPMgsWX4fwJiKmdWm,0.717,0.753,0.293,0,0.158,0.631,169.857,7,-4.609,0,174012,4
913,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Beast Mode,1AH60dMaEfNjzDoUIFwIQi,0.611,0.478,0.035,0,0.107,0.138,172.076,0,-5.839,1,258158,4
914,Florida Georgia Line,Smooth,31x4wWBghN7f5PiEZUmcAW,0.477,0.848,0.286,4.77e-05,0.673,0.33,161.014,6,-5.419,1,170200,4
915,Lin-Manuel Miranda Featuring Artists For Puerto Rico,Almost Like Praying,3dskm5fAe8OkBtM9E0VVWx,0.471,0.791,0.0198,0,0.232,0.507,188.36,5,-3.373,0,200457,4
916,Sam Smith Featuring Logic,Pray,59ljpSFcgtfWJKS3vqG27R,0.535,0.382,0.282,1.14e-05,0.0865,0.147,87.801,4,-9.465,0,221596,3
917,Charlie Puth,How Long,6wmAHw1szh5RCKSRjiXhPe,0.845,0.561,0.211,3.49e-06,0.0383,0.811,109.974,1,-5.253,0,200853,4
918,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7,0.677,0.556,0.263,0,0.105,0.521,80.006,9,-6.544,1,179507,4
919,Maren Morris Featuring Vince Gill,Dear Hate,7zOoHxDt1duHL8czY7o7ab,0.526,0.412,0.804,0,0.117,0.289,79.732,9,-9.292,1,220387,4
920,MAX Featuring gnash,Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,0.623,0.493,0.0632,0,0.104,0.594,81.019,5,-7.727,0,223847,4
921,"Quavo, Takeoff & Offset",Too Hotty,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
922,Chris Brown Featuring Future & Young Thug,High End,6FwiZxKXipsyGw2CVZOzol,0.725,0.503,0.0144,1.52e-06,0.124,0.0636,153.047,10,-5.646,1,202214,4
923,Russell Dickerson,Yours,3I4WFddKpe2PGZWFh7f10J,0.554,0.722,0.119,0,0.0861,0.558,134.058,11,-6.005,1,216960,4
924,NF,Let You Down,52okn5MNA47tk87PeZJLEL,0.662,0.714,0.312,0,0.179,0.464,147.997,5,-5.68,0,212120,4
925,Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin,17DjWsC0G9YQtAiepG3c5v,0.86,0.71,0.177,0,0.0865,0.764,122.993,7,-5.705,1,316053,4
926,Walker Hayes,You Broke Up With Me,5jZF1nvKORdaHNjNNMRbFl,0.847,0.699,0.525,0,0.267,0.874,120.002,0,-8.286,1,196667,4
927,Becky G Featuring Bad Bunny,Mayores,7JNh1cfm0eXjqFVOzKLyau,0.743,0.855,0.141,0.0045,0.099,0.871,96.989,5,-3.976,0,202453,4
928,Garth Brooks,Ask Me How I Know,7hyltBes6TarxRjMCvrCAA,0.662,0.525,0.0566,0,0.111,0.357,72.441,1,-7.277,1,213500,4
929,Taylor Swift,Gorgeous,1ZY1PqizIl78geGM4xWlEA,0.8,0.535,0.0713,9.48e-06,0.213,0.451,92.027,7,-6.684,1,209680,4
930,Future & Young Thug Featuring Offset,Patek Water,7r6LNJT2LqpLpEyZQJPygt,0.86,0.561,0.274,0,0.108,0.354,152.984,6,-5.757,0,189480,4
931,Bebe Rexha & Florida Georgia Line,Meant To Be,7iDa6hUg2VgEL1o1HjmfBn,0.643,0.783,0.047,0,0.083,0.579,154.084,10,-6.458,1,163870,4
932,Future & Young Thug,No Cap,06Gyf2pFDVmN5K8XAawG96,0.8,0.523,0.00108,0,0.352,0.379,147.057,1,-6.578,1,144142,4
933,Future,Feed Me Dope,3lyeSiAIdLoZUHhV8psOTI,0.853,0.688,0.0118,0,0.151,0.565,150.012,8,-6.509,0,166693,4
934,Future & Young Thug,All Da Smoke,1wWRtPIKD7ZNvtsrzLyTev,0.893,0.583,0.0265,1.33e-05,0.149,0.115,147.0,0,-6.862,1,204960,4
935,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC,0.664,0.667,0.64,1.22e-06,0.0753,0.381,180.064,4,-5.941,1,227533,4
936,Selena Gomez X Marshmello,Wolves,0tBbt8CrmxbjRP0pueQkyU,0.724,0.804,0.124,0,0.204,0.306,124.987,11,-4.614,0,197993,4
937,Future,4 Da Gang,3IJ6BBFLD2I2CH3hHFQj3O,0.705,0.474,0.0751,0,0.229,0.179,146.244,2,-7.534,1,187749,4
938,Liam Payne,Bedroom Floor,6IuVmxZtP3h5wvErFpDcVR,0.625,0.684,0.342,6.37e-05,0.107,0.217,119.932,1,-7.147,1,188234,4
939,Future & Young Thug,Three,7B2rgsfMqzDCwyChJn0TKr,0.918,0.602,0.179,0,0.11,0.898,145.013,11,-6.591,1,175412,4
940,"Migos, Nicki Minaj & Cardi B",MotorSport,4wFjTWCunQFKtukqrNijEt,0.904,0.518,0.0305,0,0.325,0.188,137.996,2,-5.32,1,303077,4
941,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub,0.782,0.436,0.331,1.3e-05,0.342,0.243,82.994,2,-7.033,1,268933,4
942,Offset & Metro Boomin,Ric Flair Drip,7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,0.149,5.07e-05,0.114,0.333,100.007,9,-8.28,1,172800,4
943,"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,0tdCy39PgWN8LFWu34ORn3,0.845,0.399,0.00525,0.74,0.102,0.148,143.049,1,-7.509,1,257600,4
944,21 Savage & Metro Boomin,My Choppa Hate N****s,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
945,Devin Dawson,All On Me,2mfahQ0EaaZWq4cFNg6A1o,0.634,0.668,0.14,0,0.216,0.635,80.989,5,-5.488,1,224627,4
946,Taylor Swift,Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,0.598,0.504,0.186,0.000221,0.34,0.252,163.954,9,-9.874,1,203507,4
947,N*E*R*D & Rihanna,Lemon,4nMb8pMRQ5d5pTDv0z4dqH,0.383,0.285,0.852,0.891,0.37,0.283,84.016,3,-9.599,0,188546,4
948,YBN Nahmir,Rubbin Off The Paint,6V4KHt9xu4TPEnDFoBeacT,0.734,0.751,0.00529,0,0.183,0.56,161.997,1,-7.26,1,159916,4
949,Maroon 5,Wait,6AvfZXpbb6r35DfF7gHPRq,0.655,0.603,0.0959,0,0.107,0.452,126.088,8,-5.014,1,190643,4
950,Big Sean & Metro Boomin Featuring 21 Savage,Pull Up N Wreck,7DuvVy7JfFgXwWlVzyyPys,0.49,0.44,0.00806,0.00103,0.186,0.091,173.095,10,-7.76,1,227533,4
951,"21 Savage, Offset & Metro Boomin",Mad Stalkers,6HR1z11h0ROUlWP4Kx8Z7G,0.9,0.365,0.147,0.185,0.179,0.136,135.003,10,-6.395,0,202667,4
952,Offset & Metro Boomin,Nightmare,7LAhKXDNWwq3CmnFP3UIOP,0.739,0.405,0.442,0.211,0.158,0.127,157.09,0,-10.897,1,147987,4
953,Eminem Featuring Beyonce,Walk On Water,7CcoUAtUcYhUfBsmtn0ajO,0.483,0.439,0.805,0,0.637,0.618,81.986,9,-10.212,0,303640,4
954,6ix9ine,Gummo,4HbiCvH1R7mVOJ7KY7JQBD,0.66,0.775,0.0553,0,0.129,0.635,157.036,2,-4.926,1,157643,4
955,NAV Featuring Lil Uzi Vert,Wanted You,1Faq8G2y56A8fRv7HsLq25,0.797,0.731,0.229,0,0.224,0.623,146.93,9,-4.443,0,228387,4
956,Keith Urban,Female,1t34UsQ634a233qysq6D6L,0.567,0.477,0.186,4.86e-05,0.111,0.321,85.019,8,-8.781,0,195317,5
957,Lil Xan,Betrayed,4vaxvNDaLSoD36iZX515ug,0.821,0.434,0.434,0,0.128,0.241,120.012,10,-9.194,0,187173,4
958,G-Eazy,The Plan,7fOPVfABNLg3sxtgXBhBdp,0.826,0.597,0.00278,0,0.156,0.35,118.044,1,-7.807,1,250293,4
959,Famous Dex Featuring A$AP Rocky,Pick It Up,3ncgNpxLoBQ65ABk4djDyd,0.921,0.467,0.0149,0.000238,0.334,0.287,135.995,1,-8.443,1,191252,4
960,Luis Fonsi & Demi Lovato,Echame La Culpa,0sC6IrMzzAnhiEIK4puPBD,0.734,0.896,0.0391,0,0.117,0.649,96.007,0,-3.652,1,173800,4
961,Lil Peep,Awful Things,7Hr2XoaGpIMKbNXCZDZ3le,0.368,0.796,0.0157,0,0.0694,0.181,170.033,1,-4.923,0,214427,4
962,Taylor Swift Featuring Ed Sheeran & Future,End Game,2x0WlnmfG39ZuDmstl9xfX,0.649,0.589,0.00845,0,0.108,0.151,159.073,2,-6.237,1,244827,4
963,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,0OI7AFifLSoGzpb8bdBLLV,0.653,0.718,0.00413,0,0.0537,0.216,82.034,3,-5.232,0,202805,4
964,Tank,When We,2HWelwHQS4EdRqIycZOc3O,0.635,0.324,0.165,4.18e-06,0.108,0.0741,117.863,6,-9.51,0,309120,4
965,P!nk,Beautiful Trauma,2DlIwu1iDTILEMXA7MUotn,0.412,0.619,0.0868,2.55e-06,0.4,0.234,95.943,7,-6.39,1,250053,4
966,YoungBoy Never Broke Again,No Smoke,57IRaiAB4hBZu3gnNVZC0v,0.658,0.736,0.113,0,0.0978,0.804,143.966,9,-6.097,0,160000,4
967,Tim McGraw & Faith Hill,The Rest Of Our Life,19P6cJstaoQJHtHW3HOGcg,0.617,0.468,0.65,0,0.141,0.333,119.921,2,-6.908,1,225360,3
968,Old Dominion,Written In The Sand,2A69wys3S9uiPSmn6UZWJn,0.725,0.438,0.593,0,0.0842,0.76,83.984,6,-9.602,1,184080,4
969,Calvin Harris Featuring Kehlani & Lil Yachty,Faking It,0pJPdSVti6cTM1Q6xYGmcf,0.776,0.589,0.319,0,0.0715,0.668,120.034,9,-4.543,0,240093,4
970,BTS Featuring Desiigner,MIC Drop,1u6kNDnuXECAK3WEYeSsn1,0.662,0.906,0.0142,0,0.116,0.621,169.997,3,-4.93,0,239227,4
971,Kodak Black Featuring Lil Wayne,Codeine Dreaming,4DTpngLjoHj5gFxEZFeD3J,0.736,0.604,0.0652,6.43e-05,0.124,0.574,155.007,1,-7.357,0,264532,4
972,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,038kavjqUaGIYZL5lYocvX,0.743,0.671,0.0512,0,0.116,0.499,163.229,9,-5.241,1,237160,4
973,Kelsea Ballerini,Legends,6vlxmQGwmlyp07YjkugV6K,0.577,0.727,0.0547,0,0.0891,0.24,112.041,4,-5.848,1,244467,4
974,Chloe Kohanski,Total Eclipse Of The Heart,1pFkLWesh2zpoFTs2g4SFt,0.534,0.723,0.0207,0,0.252,0.353,133.954,5,-5.221,1,181795,3
975,Shakira Featuring Nicky Jam,Perro Fiel,70lnL3QaSOIIyMa2X9aVRL,0.75,0.76,0.187,0,0.0548,0.893,183.817,1,-4.836,1,195213,4
976,G-Eazy & Halsey,Him & I,5k38wzpLb15YgncyWdTZE4,0.589,0.731,0.0534,0,0.308,0.191,87.908,2,-6.343,1,268867,4
977,6ix9ine,Kooda,0tYHqwTW4s6VuPWDSD7n7K,0.885,0.641,0.175,0,0.234,0.201,91.167,1,-4.455,1,142582,4
978,Yo Gotti,Juice,1psC5iHzQxaTMZ5dWGfM6I,0.887,0.568,0.00171,1.11e-05,0.0812,0.754,162.038,2,-5.853,1,149242,4
979,Romeo Santos Featuring Nicky Jam & Daddy Yankee,Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,0.635,0.713,0.228,0,0.0506,0.749,179.864,11,-6.909,1,204701,4
980,Thomas Rhett,Marry Me,0OWZFobGSIW9GrSlQ9C5pc,0.333,0.412,0.0977,0,0.113,0.474,85.028,3,-8.633,1,205453,4
981,Scotty McCreery,Five More Minutes,3qTmB5HxP9ilJaiM6B1yuk,0.494,0.634,0.259,1.15e-06,0.109,0.28,156.03,7,-4.933,1,241147,4
982,Natti Natasha x Ozuna,Criminal,6Za3190Sbw39BBC77WSS1C,0.814,0.813,0.03,9.33e-05,0.255,0.839,79.997,2,-3.023,0,232550,4
983,Camila Cabello,Never Be The Same,4eWQlBRaTjPPUlzacqEeoQ,0.637,0.713,0.181,0.000637,0.137,0.243,129.923,0,-4.333,1,226973,4
984,Big Sean & Metro Boomin Featuring Travis Scott,Go Legend,3wAI7MIQtTgwcRmwchPZBc,0.656,0.564,0.0167,1.39e-06,0.165,0.25,150.014,1,-8.925,0,268947,4
985,Trippie Redd Featuring Travis Scott,Dark Knight Dummo,3YeJXuRSNS5FYwOsDu44kD,0.28,0.821,0.167,0,0.139,0.254,181.444,8,-2.864,0,256163,3
986,Lil Baby,My Dawg,7CEJH5Ed7FBbXF6CqBQPlJ,0.943,0.544,0.0336,0,0.0954,0.515,133.012,10,-6.292,0,215423,4
987,Migos & Marshmello,Danger,0nhVrTiCGiGRCoZOJiWzm1,0.814,0.743,0.152,0,0.163,0.367,107.996,9,-2.968,1,214587,4
988,Eminem,Untouchable,6IvespQWGW4USXwexlVKDm,0.554,0.887,0.0803,0,0.15,0.648,172.233,7,-3.367,1,370133,4
989,Cardi B Featuring 21 Savage,Bartier Cardi,0dIoGTQXDh1wVnhIiSyYEa,0.908,0.524,0.00111,0.000678,0.383,0.109,138.015,1,-7.955,1,224285,4
990,Eminem Featuring Ed Sheeran,River,1cS0TgbR263ey9jn0MwD2s,0.748,0.749,0.142,0,0.0713,0.659,90.09,8,-5.916,0,221013,4
991,Ozuna x Cardi B,La Modelo,2SbzdGpOKlH3HIAGTWTbwU,0.574,0.734,0.241,0.00806,0.0962,0.769,98.023,1,-2.697,1,255507,4
992,Huncho Jack Featuring Takeoff,Eye 2 Eye,4vwfOiyWxXeEdx4ejAJgdx,0.818,0.65,0.00122,0,0.104,0.163,146.015,2,-4.328,1,190679,4
993,Huncho Jack,Modern Slavery,7J6bnDDitOwfelaJNixHhL,0.765,0.733,0.00186,0,0.297,0.495,133.966,4,-3.509,0,148560,4
994,Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),7ER7vcy7u2ajg5IV45WBFw,0.439,0.681,0.101,0.000232,0.395,0.3,168.082,0,-5.516,1,251284,4
995,Huncho Jack,Black & Chinese,628Ueb4sRiXApObhcU9iPU,0.668,0.844,0.00389,0.00879,0.119,0.33,159.108,1,-4.151,1,172017,4
996,Quavo & Lil Yachty,Ice Tray,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
997,Huncho Jack Featuring Offset,Dubai Shit,6urLjX35oXXRYtcH1b3dCh,0.774,0.529,0.0674,0,0.0814,0.227,138.072,5,-4.479,0,228431,4
998,Huncho Jack,Huncho Jack,5vuiHi3QYbwcm1OKJOYnrf,0.793,0.574,0.011,0,0.156,0.0601,136.982,5,-3.509,0,199227,4
999,Huncho Jack,Motorcycle Patches,7g7raxdQpiLZT7aOlib4S1,0.868,0.657,0.0158,0,0.0995,0.436,162.867,8,-4.853,1,191410,4
1000,Huncho Jack,Saint,7foypmc7KZyU716Yv63BPe,0.866,0.648,0.009,0,0.0967,0.0798,150.058,1,-3.675,1,140793,4
1001,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,0.817,0.816,0.00263,0,0.159,0.508,181.982,2,-5.402,1,190288,4
1002,Bruno Mars & Cardi B,Finesse,3Vo4wInECJQuz9BIBMOu8i,0.704,0.859,0.0185,0,0.0215,0.926,105.115,5,-4.877,0,217289,4
1003,WALK THE MOON,One Foot,0iQ77tSa7ncj7zBPtVx6cU,0.582,0.822,0.00749,2.09e-06,0.818,0.471,100.025,0,-4.861,1,261373,4
1004,Keala Settle & The Greatest Showman Ensemble,This Is Me,45aBsnKRWUzhwbcqOJLwfe,0.284,0.704,0.00583,0.000115,0.0424,0.1,191.702,2,-7.276,1,234707,4
1005,Zac Efron & Zendaya,Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,0.684,0.619,0.0716,0,0.122,0.284,125.046,10,-7.005,1,217440,4
1006,Loren Allred,Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J,0.277,0.394,0.423,0,0.0952,0.227,86.777,8,-8.903,1,207787,3
1007,Maluma X Nego do Borel,Corazon,5cepAtqnEQ6yVG6088zMMu,0.722,0.738,0.328,1.47e-05,0.198,0.748,198.075,9,-6.073,0,184720,4
1008,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,4ylWMuGbMXNDgDd8lErEle,0.417,0.824,0.000239,0.0545,0.0725,0.4,157.92,11,-7.36,0,302147,4
1009,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,1zEhH5BmSpKi1mRSIfBDOq,0.699,0.7,0.0109,0.0794,0.152,0.3,102.023,11,-5.704,1,184880,4
1010,Justin Timberlake,Filthy,1L3NV7VrCiuE8C5QlhdeQL,0.745,0.579,0.0354,0.0118,0.246,0.645,97.002,1,-5.771,1,293947,4
1011,Kendrick Lamar & SZA,All The Stars,3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,0.0605,0.000194,0.0926,0.552,96.924,8,-4.946,1,232187,4
1012,Liam Payne & Rita Ora,For You (Fifty Shades Freed),66xn6tB8s3l8uhj02OGneE,0.541,0.787,0.0167,0,0.157,0.2,113.0,2,-4.618,0,245453,4
1013,Lil Skies Featuring Landon Cube,Nowadays,2u7mxWSeoqTXndK5e08jMp,0.745,0.646,0.157,0,0.338,0.46,79.993,6,-6.987,0,203908,4
1014,Clean Bandit Featuring Julia Michaels,I Miss You,0Ult84lvFuqNvbyXwyRQ58,0.693,0.624,0.299,7.64e-06,0.0955,0.369,105.002,0,-7.482,0,205987,4
1015,Lil Skies Featuring Landon Cube,Red Roses,3ZhTT6yjZwpPph5MIJ53XY,0.691,0.683,0.547,0,0.221,0.456,140.002,0,-7.335,1,262544,4
1016,Carrie Underwood Featuring Ludacris,The Champion,0stPNUkU1LZnvxIcfrKnEZ,0.663,0.875,0.0821,0,0.124,0.51,91.056,6,-3.301,1,223999,4
1017,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,14PlDNjNh3pXyHXzkhX8n5,0.599,0.857,0.0321,0,0.4,0.469,187.985,7,-5.7,1,151915,4
1018,YoungBoy Never Broke Again,Outside Today,3sA7HKGzcKTVscdiTCrWpX,0.851,0.666,0.139,0,0.105,0.0585,134.068,11,-5.334,0,129105,4
1019,Troye Sivan,My My My!,4NiehSBQthimPzRsVeOgCT,0.701,0.458,0.00407,0.000151,0.045,0.482,102.967,1,-7.749,1,204727,4
1020,Dan + Shay,Tequila,42fw0rxRO2xbesF6mJfd4Y,0.489,0.581,0.0312,0,0.132,0.494,86.016,11,-5.731,1,196747,4
1021,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,51rXHuKN8Loc4sUlKPODgH,0.645,0.705,0.000813,0,0.128,0.376,137.133,1,-5.008,1,229670,4
1022,Dua Lipa,IDGAF,76cy1WJvNGJTj78UqeA5zr,0.836,0.544,0.0403,0,0.0824,0.51,97.028,7,-5.975,1,217947,4
1023,Enrique Iglesias Featuring Bad Bunny,El Bano,2vvdTrdryjsl8DmPIMDWZU,0.719,0.842,0.132,0,0.105,0.534,90.017,6,-3.562,0,228139,4
1024,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,0.0332,8.29e-05,0.552,0.357,77.169,7,-9.211,1,198973,4
1025,Drake,Diplomatic Immunity,4haJoBPbPj9QFKNpp9e8kx,0.654,0.839,0.00531,0,0.308,0.549,74.886,9,-5.076,0,255867,4
1026,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,0.71,0.789,0.0161,2.77e-06,0.451,0.717,142.929,4,-3.874,1,131064,4
1027,The Chainsmokers,Sick Boy,58kZ9spgxmlEznXGu6FPdQ,0.663,0.577,0.109,0,0.12,0.454,89.996,11,-7.518,0,193200,4
1028,Justin Timberlake,Supplies,6jT85s2dZ55HBqjXYi2rfI,0.793,0.554,0.00695,0,0.127,0.225,119.993,11,-6.624,0,225600,4
1029,NF,No Name,7hdw5gAGMyyn9z0XgfTv1j,0.718,0.795,0.223,0,0.12,0.292,130.77,0,-3.978,0,183827,4
1030,Plies,Rock,0QVISdPWRllAmoDBG3DEHU,0.852,0.691,0.0375,0,0.0517,0.658,61.115,6,-5.175,0,174653,4
1031,Justin Timberlake Featuring Chris Stapleton,Say Something,09ts3GnICqYEU5PkQCpJK3,0.707,0.632,0.103,1.09e-05,0.0841,0.372,97.04,10,-7.031,1,278893,4
1032,Migos Featuring Drake,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,0.907,0.633,0.0876,2.6e-06,0.106,0.395,145.914,2,-5.145,1,276147,4
1033,"Zedd, Maren Morris & Grey",The Middle,09IStsImFySgyp0pIQdqAc,0.753,0.657,0.171,0,0.112,0.437,107.01,7,-3.061,1,184732,4
1034,Jason Aldean,You Make It Easy,6EGAfJaLUFzhS4zRBIEQ2J,0.375,0.574,0.143,0,0.11,0.406,132.025,7,-5.305,1,196800,3
1035,Migos,Narcos,0wbnC9AUenxp613TYaJsGK,0.936,0.585,0.0142,0,0.132,0.242,124.991,0,-6.914,1,255379,4
1036,Migos Featuring 21 Savage,BBO (Bad Bitches Only),4BHzHISX21PYwGXiBEUQ70,0.808,0.771,0.0413,1.29e-06,0.18,0.471,161.94,4,-5.719,0,251859,4
1037,Migos Featuring Post Malone,Notice Me,3OnOomd79OjqSYHchCQ6ht,0.793,0.344,0.112,1.68e-06,0.15,0.45,166.105,6,-9.757,1,233880,4
1038,Migos,Supastars,7yt6eiZQCkVFEzwGp4Pbor,0.782,0.686,0.253,0,0.08,0.334,75.948,1,-4.383,1,293138,4
1039,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand,2KokOIKdw4zZutDil85Ugh,0.827,0.591,0.0307,0,0.273,0.402,142.113,5,-7.504,0,202835,4
1040,Migos,Gang Gang,6RKkHI2fkmgZq7uQPPav8f,0.731,0.627,0.261,0,0.112,0.5,90.03,2,-9.76,1,181319,4
1041,Rich The Kid Featuring Kendrick Lamar,New Freezer,2EgB4n6XyBsuNUbuarr4eG,0.884,0.698,0.0405,0,0.195,0.575,140.068,0,-9.101,1,191938,4
1042,Migos,Higher We Go (Intro),43dOwOq0mB4i6j4SpcSkqC,0.825,0.547,0.0936,0,0.22,0.184,152.007,8,-3.938,1,255849,4
1043,Migos,Auto Pilot,4Kw3CztmD15X1QGDnnHmLD,0.928,0.721,0.0714,0,0.225,0.254,129.997,11,-5.774,1,287992,4
1044,Migos,Emoji A Chain,0G9rmRmQDFk9O2tzZLyRkc,0.894,0.324,0.0399,0,0.126,0.407,139.972,1,-8.24,1,315185,4
1045,Ozuna & Romeo Santos,El Farsante,7uYgVgRSgqluZclLS7wpp4,0.737,0.742,0.218,0,0.316,0.386,119.966,6,-2.875,1,258000,4
1046,Luke Bryan,Most People Are Good,79LAFAkR1ATb4iIQvZuCL0,0.586,0.732,0.176,0,0.148,0.582,150.109,8,-6.171,1,221801,4
1047,Migos Featuring Gucci Mane,CC,35ffVv9x4mtzBh5rF1K9sP,0.85,0.731,0.231,0,0.0886,0.822,134.009,9,-6.705,0,259340,4
1048,The Weeknd & Kendrick Lamar,Pray For Me,77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,0.0762,2.17e-05,0.111,0.188,100.584,2,-4.979,1,211440,4
1049,Justin Timberlake,Man Of The Woods,4KTU5aa5s547f1JF5DImhF,0.624,0.452,0.315,1.02e-05,0.311,0.724,199.775,0,-8.206,1,243987,4
1050,Daddy Yankee,Dura,1E61aXVcO25WAnh2Ov2Nst,0.783,0.84,0.174,0,0.412,0.838,95.002,1,-3.416,1,200480,4
1051,Derez De'Shon,Hardaway,25qhnRgAcImQWfaswqRkwN,0.537,0.518,0.118,0,0.146,0.427,132.527,1,-5.987,1,236032,4
1052,Jacquees X Dej Loaf,At The Club,0NqZ65jPelNB13gzsvH2Ma,0.795,0.668,0.124,0,0.0739,0.372,92.029,7,-7.288,0,173054,4
1053,Brett Eldredge,The Long Way,5vuMtXS5kQ7F0o9V9rG1dG,0.488,0.637,0.265,0,0.106,0.23,88.865,10,-7.63,1,208720,4
1054,Jordan Davis,Singles You Up,4LiMQ6G9n84rDUBs9wtwz6,0.491,0.907,0.0491,0,0.242,0.631,199.943,7,-3.594,1,182667,4
1055,Easton Corbin,A Girl Like You,3AsNVBJ7LHsltdu9490ZiS,0.735,0.768,0.0197,0,0.0643,0.83,104.991,5,-4.481,1,217840,4
1056,BlocBoy JB Featuring Drake,Look Alive,4qKcDkK6siZ7Jp1Jb4m0aL,0.922,0.581,0.00104,5.86e-05,0.105,0.595,140.022,10,-7.495,1,181263,4
1057,"ScHoolboy Q, 2 Chainz & Saudi",X,4LmAnpjlhWTahvRkYR8xJa,0.768,0.471,0.0201,0,0.268,0.405,131.023,2,-8.406,1,267427,4
